epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.8115,1.07356,2.12461,2.22308,1.2924,0.01141,0.26111,0.00678,0.00451,0.01016,0.25363,0.00557,0.00396,1.18369,6.8883,inf,1.34096,0.000542744,0.000542744,0.000542744
2,39.4357,0.88107,1.90771,1.38203,1.10215,0.0089,0.26987,0.0057,0.00221,0.00427,0.1344,0.00234,0.00065,2.97493,15.4975,inf,5.35979,0.00109116,0.00109116,0.00109116
3,58.5966,0.94821,1.97074,1.54062,1.15017,0.00035,0.01667,0.00018,6e-05,0.00017,0.00833,9e-05,1e-05,nan,nan,nan,nan,0.00163224,0.00163224,0.00163224
4,77.7035,0.95517,2.00696,1.40277,1.16531,0.13,0.42393,0.0831,0.05693,0.11154,0.36581,0.06329,0.02966,1.33417,4.53548,8.93747,1.48846,0.00163399,0.00163399,0.00163399
5,97.3267,0.86571,1.82739,1.21341,1.11878,0.4849,0.52505,0.49003,0.35518,0.43731,0.46966,0.41333,0.20734,1.08305,3.59647,4.18952,1.38946,0.00162299,0.00162299,0.00162299
6,118.623,0.86895,1.68677,1.22775,1.10234,0.71712,0.58718,0.67893,0.55347,0.58827,0.64857,0.60673,0.39145,0.79134,2.47587,1.47448,1.1374,0.00161199,0.00161199,0.00161199
7,144.09,0.83063,1.59508,1.05619,1.08426,0.71504,0.57839,0.64945,0.49077,0.68559,0.55723,0.61071,0.36125,0.89738,2.48242,1.8947,1.20847,0.00160099,0.00160099,0.00160099
8,169.262,0.79816,1.49626,1.00238,1.06224,0.63318,0.71161,0.73585,0.59545,0.62692,0.70513,0.71405,0.44018,0.78117,2.03641,1.15818,1.07146,0.00158998,0.00158998,0.00158998
9,194.622,0.78065,1.39774,0.99642,1.05668,0.76268,0.6086,0.71424,0.59343,0.7549,0.6027,0.69499,0.44849,0.75678,2.09462,1.01412,1.05817,0.00157898,0.00157898,0.00157898
10,217.994,0.77337,1.38902,0.95166,1.06071,0.69462,0.6606,0.72926,0.61075,0.76098,0.59354,0.71906,0.4735,0.73807,2.04375,1.04383,1.0503,0.00156798,0.00156798,0.00156798
11,241.242,0.70246,1.3016,0.86601,1.0234,0.73581,0.7136,0.75699,0.63474,0.73114,0.71047,0.73887,0.48555,0.70006,2.04634,0.89444,1.02927,0.00155698,0.00155698,0.00155698
12,260.599,0.76596,1.29834,0.94713,1.07153,0.72113,0.70321,0.77229,0.64417,0.69663,0.68397,0.74568,0.53055,0.70806,1.67336,0.93928,1.03598,0.00154598,0.00154598,0.00154598
13,280.166,0.73813,1.28247,0.88939,1.03769,0.73132,0.75506,0.80711,0.68046,0.73132,0.75506,0.79802,0.54978,0.67412,1.88163,0.90359,1.02553,0.00153497,0.00153497,0.00153497
14,299.753,0.74214,1.24395,0.86898,1.03747,0.73554,0.74779,0.79508,0.67754,0.73851,0.75161,0.78685,0.58825,0.67356,1.63801,0.93826,1.01757,0.00152397,0.00152397,0.00152397
15,319.018,0.70632,1.16517,0.87147,1.01877,0.72573,0.60883,0.70614,0.59315,0.72573,0.60883,0.70064,0.49833,0.72338,1.78603,0.95391,1.05418,0.00151297,0.00151297,0.00151297
