epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.8802,1.12422,2.00492,1.31243,0.13762,0.4102,0.10863,0.0804,1.14407,inf,1.88424,0.000544553,0.000544553,0.000544553
2,59.3029,0.93669,1.36838,1.16788,0.01462,0.3066,0.0091,0.00563,2.28702,inf,14.2307,0.00109296,0.00109296,0.00109296
3,84.2647,0.98975,1.26941,1.19435,0.03004,0.2367,0.01067,0.00605,nan,nan,nan,0.00163403,0.00163403,0.00163403
4,107.911,0.96112,1.17096,1.18496,0.59435,0.44961,0.46601,0.34321,1.10787,2.47874,1.42555,0.00163399,0.00163399,0.00163399
5,131.761,0.91639,1.10944,1.15281,0.70582,0.66339,0.69115,0.53937,1.03907,2.08188,1.35387,0.00162299,0.00162299,0.00162299
6,155.534,0.87735,1.10814,1.15275,0.7318,0.68715,0.72211,0.5649,0.89634,1.2083,1.25629,0.00161199,0.00161199,0.00161199
7,179.46,0.84718,1.07523,1.13076,0.75268,0.73222,0.78774,0.65775,0.77403,1.32227,1.14825,0.00160099,0.00160099,0.00160099
8,203.47,0.84949,1.03534,1.15305,0.50633,0.25085,0.24815,0.18447,1.75473,2.78319,1.97158,0.00158998,0.00158998,0.00158998
9,226.837,0.80188,0.97275,1.11101,0.66532,0.44121,0.4723,0.38449,1.11035,1.57376,1.34866,0.00157898,0.00157898,0.00157898
10,250.226,0.8001,0.93003,1.11601,0.74334,0.71284,0.7702,0.64,0.7725,0.97397,1.12436,0.00156798,0.00156798,0.00156798
11,274.336,0.80142,0.95471,1.10597,0.7385,0.69103,0.73252,0.60323,0.82502,1.21779,1.16762,0.00155698,0.00155698,0.00155698
12,298.706,0.78455,0.93229,1.0751,0.78946,0.78971,0.84194,0.71221,0.68567,0.86532,1.05742,0.00154598,0.00154598,0.00154598
13,322.591,0.75681,0.85374,1.08352,0.77071,0.78018,0.82231,0.69231,0.70082,0.86127,1.08376,0.00153497,0.00153497,0.00153497
14,346.747,0.75413,0.89622,1.08336,0.72982,0.78472,0.79647,0.68068,0.6521,0.85383,1.04604,0.00152397,0.00152397,0.00152397
15,370.549,0.72693,0.85359,1.06997,0.76195,0.81121,0.8373,0.71549,0.67499,0.77285,1.0572,0.00151297,0.00151297,0.00151297
16,394.503,0.73279,0.85268,1.08198,0.7625,0.79186,0.83156,0.70815,0.65536,0.87243,1.05205,0.00150197,0.00150197,0.00150197
17,418.228,0.695,0.75945,1.03906,0.78359,0.76221,0.82246,0.69463,0.66198,0.77607,1.06138,0.00149096,0.00149096,0.00149096
18,442.024,0.7354,0.78706,1.07569,0.7819,0.82139,0.85118,0.72889,0.65563,0.75861,1.0459,0.00147996,0.00147996,0.00147996
19,465.887,0.73298,0.80575,1.07399,0.78734,0.81004,0.86474,0.74551,0.62522,0.7314,1.0285,0.00146896,0.00146896,0.00146896
20,489.766,0.71433,0.80283,1.05773,0.77969,0.82812,0.86213,0.74196,0.6183,0.75754,1.02779,0.00145796,0.00145796,0.00145796
